ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
4096,4096,397.00,32,18.04,80373132
8192,4096,383.02,32,20.77,136750476
16384,8192,360.01,32,19.78,249505164
32768,16384,339.23,32,17.43,475014540
