ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
4096,4096,398.90,32,21.48,80373132
8192,4096,385.03,32,22.09,136750476
16384,8192,355.56,32,20.67,249505164
32768,16384,339.84,32,19.92,475014540
