ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
4096,4096,398.01,32,21.77,80373132
8192,4096,381.87,32,21.94,136750476
16384,8192,358.42,32,19.95,249505164
32768,16384,339.76,32,19.98,475014540
