ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
4096,4096,401.08,32,14.45,80373132
8192,4096,392.35,32,14.37,136750476
16384,8192,377.52,32,14.12,249505164
32768,16384,358.26,32,13.27,475014540
