ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
4096,4096,407.20,32,14.64,80373132
8192,4096,402.56,32,14.39,136750476
16384,8192,388.41,32,14.29,249505164
32768,16384,363.64,32,13.23,475014540
