ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
4096,4096,406.10,32,18.23,80373132
8192,4096,402.90,32,19.88,136750476
16384,8192,388.24,32,20.59,249505164
32768,16384,366.13,32,17.40,475014540
