ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
4096,4096,400.60,32,14.38,80373132
8192,4096,390.79,32,14.39,136750476
16384,8192,371.20,32,14.23,249505164
32768,16384,352.19,32,13.22,475014540
