ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
4096,4096,396.93,32,21.70,80373132
8192,4096,376.94,32,22.13,136750476
16384,8192,348.80,32,21.99,249505164
32768,16384,337.52,32,21.38,475014540
