ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
4096,4096,396.53,32,18.05,80373132
8192,4096,382.04,32,20.64,136750476
16384,8192,364.08,32,18.79,249505164
32768,16384,339.88,32,18.19,475014540
